,snapshot,objective,stores,generators
0,2020-01-01 00:00:00,1.0,1.0,1.0
1,2020-01-01 01:00:00,1.0,1.0,1.0
2,2020-01-01 02:00:00,1.0,1.0,1.0
3,2020-01-01 03:00:00,1.0,1.0,1.0
4,2020-01-01 04:00:00,1.0,1.0,1.0
5,2020-01-01 05:00:00,1.0,1.0,1.0
6,2020-01-01 06:00:00,1.0,1.0,1.0
7,2020-01-01 07:00:00,1.0,1.0,1.0
8,2020-01-01 08:00:00,1.0,1.0,1.0
9,2020-01-01 09:00:00,1.0,1.0,1.0
10,2020-01-01 10:00:00,1.0,1.0,1.0
11,2020-01-01 11:00:00,1.0,1.0,1.0
12,2020-01-01 12:00:00,1.0,1.0,1.0
13,2020-01-01 13:00:00,1.0,1.0,1.0
14,2020-01-01 14:00:00,1.0,1.0,1.0
15,2020-01-01 15:00:00,1.0,1.0,1.0
16,2020-01-01 16:00:00,1.0,1.0,1.0
17,2020-01-01 17:00:00,1.0,1.0,1.0
18,2020-01-01 18:00:00,1.0,1.0,1.0
19,2020-01-01 19:00:00,1.0,1.0,1.0
20,2020-01-01 20:00:00,1.0,1.0,1.0
21,2020-01-01 21:00:00,1.0,1.0,1.0
22,2020-01-01 22:00:00,1.0,1.0,1.0
23,2020-01-01 23:00:00,1.0,1.0,1.0
24,2020-01-02 00:00:00,1.0,1.0,1.0
25,2020-01-02 01:00:00,1.0,1.0,1.0
26,2020-01-02 02:00:00,1.0,1.0,1.0
27,2020-01-02 03:00:00,1.0,1.0,1.0
28,2020-01-02 04:00:00,1.0,1.0,1.0
29,2020-01-02 05:00:00,1.0,1.0,1.0
30,2020-01-02 06:00:00,1.0,1.0,1.0
31,2020-01-02 07:00:00,1.0,1.0,1.0
32,2020-01-02 08:00:00,1.0,1.0,1.0
33,2020-01-02 09:00:00,1.0,1.0,1.0
34,2020-01-02 10:00:00,1.0,1.0,1.0
35,2020-01-02 11:00:00,1.0,1.0,1.0
36,2020-01-02 12:00:00,1.0,1.0,1.0
37,2020-01-02 13:00:00,1.0,1.0,1.0
38,2020-01-02 14:00:00,1.0,1.0,1.0
39,2020-01-02 15:00:00,1.0,1.0,1.0
40,2020-01-02 16:00:00,1.0,1.0,1.0
41,2020-01-02 17:00:00,1.0,1.0,1.0
42,2020-01-02 18:00:00,1.0,1.0,1.0
43,2020-01-02 19:00:00,1.0,1.0,1.0
44,2020-01-02 20:00:00,1.0,1.0,1.0
45,2020-01-02 21:00:00,1.0,1.0,1.0
46,2020-01-02 22:00:00,1.0,1.0,1.0
47,2020-01-02 23:00:00,1.0,1.0,1.0
48,2020-01-03 00:00:00,1.0,1.0,1.0
49,2020-01-03 01:00:00,1.0,1.0,1.0
50,2020-01-03 02:00:00,1.0,1.0,1.0
51,2020-01-03 03:00:00,1.0,1.0,1.0
52,2020-01-03 04:00:00,1.0,1.0,1.0
53,2020-01-03 05:00:00,1.0,1.0,1.0
54,2020-01-03 06:00:00,1.0,1.0,1.0
55,2020-01-03 07:00:00,1.0,1.0,1.0
56,2020-01-03 08:00:00,1.0,1.0,1.0
57,2020-01-03 09:00:00,1.0,1.0,1.0
58,2020-01-03 10:00:00,1.0,1.0,1.0
59,2020-01-03 11:00:00,1.0,1.0,1.0
60,2020-01-03 12:00:00,1.0,1.0,1.0
61,2020-01-03 13:00:00,1.0,1.0,1.0
62,2020-01-03 14:00:00,1.0,1.0,1.0
63,2020-01-03 15:00:00,1.0,1.0,1.0
64,2020-01-03 16:00:00,1.0,1.0,1.0
65,2020-01-03 17:00:00,1.0,1.0,1.0
66,2020-01-03 18:00:00,1.0,1.0,1.0
67,2020-01-03 19:00:00,1.0,1.0,1.0
68,2020-01-03 20:00:00,1.0,1.0,1.0
69,2020-01-03 21:00:00,1.0,1.0,1.0
70,2020-01-03 22:00:00,1.0,1.0,1.0
71,2020-01-03 23:00:00,1.0,1.0,1.0
72,2020-01-04 00:00:00,1.0,1.0,1.0
73,2020-01-04 01:00:00,1.0,1.0,1.0
74,2020-01-04 02:00:00,1.0,1.0,1.0
75,2020-01-04 03:00:00,1.0,1.0,1.0
76,2020-01-04 04:00:00,1.0,1.0,1.0
77,2020-01-04 05:00:00,1.0,1.0,1.0
78,2020-01-04 06:00:00,1.0,1.0,1.0
79,2020-01-04 07:00:00,1.0,1.0,1.0
80,2020-01-04 08:00:00,1.0,1.0,1.0
81,2020-01-04 09:00:00,1.0,1.0,1.0
82,2020-01-04 10:00:00,1.0,1.0,1.0
83,2020-01-04 11:00:00,1.0,1.0,1.0
84,2020-01-04 12:00:00,1.0,1.0,1.0
85,2020-01-04 13:00:00,1.0,1.0,1.0
86,2020-01-04 14:00:00,1.0,1.0,1.0
87,2020-01-04 15:00:00,1.0,1.0,1.0
88,2020-01-04 16:00:00,1.0,1.0,1.0
89,2020-01-04 17:00:00,1.0,1.0,1.0
90,2020-01-04 18:00:00,1.0,1.0,1.0
91,2020-01-04 19:00:00,1.0,1.0,1.0
92,2020-01-04 20:00:00,1.0,1.0,1.0
93,2020-01-04 21:00:00,1.0,1.0,1.0
94,2020-01-04 22:00:00,1.0,1.0,1.0
95,2020-01-04 23:00:00,1.0,1.0,1.0
96,2020-01-05 00:00:00,1.0,1.0,1.0
97,2020-01-05 01:00:00,1.0,1.0,1.0
98,2020-01-05 02:00:00,1.0,1.0,1.0
99,2020-01-05 03:00:00,1.0,1.0,1.0
100,2020-01-05 04:00:00,1.0,1.0,1.0
101,2020-01-05 05:00:00,1.0,1.0,1.0
102,2020-01-05 06:00:00,1.0,1.0,1.0
103,2020-01-05 07:00:00,1.0,1.0,1.0
